Group_Number,Group_Description,Inventory_Code,Description,PLU_Number,SupplierStockCode,UnitsPerCase,SOH,Cases,Units,SUMOFCOST,SUMOFQTY,SUMOFSALES,SUMOFSALESEX,SUMOFTAX
12,SNACK FOODS,POP0001,PORKY CRACKLE BACON 25G,5054,00307923,20,0.000,0,0,1.620,1.000,2.500,2.273,0.227
12,SNACK FOODS,15991,PRINGLES BBQ 134G,15991,636602,12,5.000,0,5,4.420,1.000,5.500,5.000,0.500
12,SNACK FOODS,636432,PRINGLES ORIG 134G,6613,636432,12,20.000,1,8,30.940,7.000,37.950,34.500,3.450
12,SNACK FOODS,636458,PRINGLES S/CRM ONION 134G,6614,636458,12,5.000,0,5,13.260,3.000,16.500,15.000,1.500
12,SNACK FOODS,636513,PRINGLES SALT VIN 134G,6615,636513,12,25.000,2,1,4.420,1.000,5.500,5.000,0.500
12,SNACK FOODS,024017,RRD CHIP HNY SOY CHK 165G,15442,00024017,12,9.000,0,9,3.960,1.000,5.000,4.546,0.455
12,SNACK FOODS,842779,RRD CHIP HNY SOY CHK 90G,15495,842779,12,2.000,0,2,13.200,6.000,22.200,20.182,2.018
12,SNACK FOODS,024033,RRD CHIP LIME PEPPER 165G,15443,00024033,12,16.000,1,3,19.800,5.000,25.000,22.728,2.273
12,SNACK FOODS,024025,RRD CHIP S/CHIL S/CRM 165G,15445,00024025,12,1.000,0,1,19.800,5.000,25.000,22.728,2.273
12,SNACK FOODS,842761,RRD CHIP S/CHIL S/CRM 90G,15497,842761,12,36.000,3,0,2.200,1.000,3.700,3.364,0.336
12,SNACK FOODS,842753,RRD CHIP SEA SALT 90G,15499,842753,12,22.000,1,10,4.400,2.000,7.030,6.391,0.639
12,SNACK FOODS,299081,SMITHS CRNKL CHKN 170G,19020,299081,12,0.000,0,0,6.700,2.000,10.000,9.091,0.909
12,SNACK FOODS,842656,SMITHS CRNKL CHKN 90G,15501,842656,18,13.000,0,13,1.850,1.000,3.700,3.364,0.336
12,SNACK FOODS,5371,SMITHS CRNKL CHS ON 170G,5371,00299162,12,5.000,0,5,6.700,2.000,10.000,9.091,0.909
12,SNACK FOODS,5372,SMITHS CRNKL ORIG 170G,5372,298946,12,15.000,1,3,3.350,1.000,5.000,4.546,0.455
12,SNACK FOODS,5373,SMITHS CRNKL SLT VIN 170G,5373,299073,12,28.000,2,4,6.700,2.000,10.000,9.091,0.909
12,SNACK FOODS,842648,SMITHS CRNKL SLT VIN 90G,15504,842648,18,1.000,0,1,11.100,6.000,22.200,20.182,2.018
12,SNACK FOODS,5329,TRUCKIN JERKY CHILLI 35G,5329,12x35GCHILLICSTRIP,12,1.000,0,1,18.000,4.000,26.000,26.000,0.000
12,SNACK FOODS,16597,TRUCKIN JERKY TRAD 100G,16597,20x100GTRUCKTRAD,20,33.000,1,12,30.600,3.000,45.000,45.000,0.000
12,SNACK FOODS,5330,TRUCKIN JERKY TRAD 35G,5330,12X35GTRADCSTRIP,12,13.000,1,0,4.500,1.000,6.500,6.500,0.000
12,SNACK FOODS,20342,TWISTIES CHEESE 90G,20342,00777071,23,1.000,0,1,7.160,4.000,14.800,13.454,1.346
12,SNACK FOODS,842729,TWISTIES CHICKEN 90G,15507,777063,23,27.000,1,4,8.950,5.000,18.500,16.818,1.682
13,MILK ,19985,BOSS BLACK CAN 237ML,19985,6700,12,18.000,1,6,11.920,4.000,20.400,18.546,1.854
13,MILK ,23972,BOSS CRML LATTE 237ML CAN,23972,6703,12,2.000,0,2,2.980,1.000,5.100,4.636,0.464
13,MILK ,19986,BOSS LATTE CAN 237ML,19986,6701,12,37.000,3,1,2.980,1.000,5.100,4.636,0.464
13,MILK ,23248,BOSS VAN LATTE CAN 237ML,23248,6803,12,10.000,0,10,8.940,3.000,15.300,13.909,1.391
13,MILK ,366,BRN CHILL BANANA 600ML,366,3962,1,9.000,9,0,3.640,2.000,8.600,7.818,0.782
13,MILK ,4000,BRN CHILL CHOC 600ML,4000,10538,1,5.000,5,0,12.740,7.000,29.900,27.182,2.718
13,MILK ,899,BRN CHILL COFFEE 600ML,899,31757,1,10.000,10,0,10.920,6.000,25.650,23.318,2.332
13,MILK ,4615,BRN CHILL DBL ESPR 600ML,4615,88378,1,3.000,3,0,29.120,16.000,68.350,62.136,6.214
13,MILK ,18692,BRN CHILL MOCHA 600ML,18692,88797,1,8.000,8,0,10.920,6.000,25.600,23.273,2.327
13,MILK ,24057,BRN H&B AUSTRALIA 600ML,24057,89018,1,-5.000,-5,0,12.680,4.000,22.000,20.000,2.000
13,MILK ,18932,BRN H&B BRAZIL 400ML,18932,88648,1,0.000,0,0,6.340,2.000,10.200,9.273,0.927
13,MILK ,18933,BRN H&B HONDURAS 400ML,18933,88649,1,-2.000,-2,0,6.340,2.000,10.200,9.273,0.927
13,MILK ,23111,DARE DBL ESP NAS  750ML,23111,9200,6,0.000,0,0,10.600,5.000,25.500,23.182,2.318
13,MILK ,23110,DARE DBL ESP NAS 500ML,23110,9199,6,8.000,1,1,9.420,6.000,27.600,25.091,2.509
13,MILK ,3533,DARE DBL ESPRESSO 500ML,3533,8655,6,12.000,2,0,18.840,12.000,55.200,50.182,5.018
13,MILK ,3532,DARE ESPRESSO 500ML,3532,8640,6,13.000,2,0,17.270,11.000,50.600,46.000,4.600
13,MILK ,3534,DARE MOCHA 500ML,3534,8653,6,5.000,0,5,14.130,9.000,41.400,37.636,3.764
13,MILK ,17357,MUSASHI HP CHOC RTD 375ML,17357,61543,6,1.000,0,1,3.230,1.000,5.600,5.091,0.509
13,MILK ,9698,SANIT UP & GO CHOC 500ML,9698,9698,12,3.000,0,3,17.500,5.000,25.500,23.182,2.318
13,MILK ,9700,SANIT UP & GO VAN 500ML,9700,6077,12,8.000,0,8,21.000,6.000,30.600,27.818,2.782
15,PERSONAL CARE,046792,*DEL* S/SILK SPOO BR/SHINE 200ML,15380,00046792,6,7.000,1,1,4.360,1.000,6.000,5.455,0.546
15,PERSONAL CARE,636063,BLISTEX LIP BALM SPF50+ ULT,14645,636063,6,7.000,1,1,14.040,4.000,16.000,16.000,0.000
15,PERSONAL CARE,19326,COLG T/PASTE TOTAL 40G,19326,00030429,24,27.000,1,3,4.770,3.000,7.500,6.818,0.682
15,PERSONAL CARE,029795,GILL BLUE 3 DISP RAZOR 4S,15041,00029795,6,4.000,0,4,3.990,1.000,6.500,5.909,0.591
15,PERSONAL CARE,20318,LIBRA TAMPON REG 16S,20318,00055974,12,55.000,4,6,5.100,1.000,7.500,7.500,0.000
15,PERSONAL CARE,084570,LISTERINE ZERO C/MINT 250ML,13045,84570,6,11.000,1,5,4.520,1.000,8.000,7.273,0.727
