Group_Number,Group_Description,Inventory_Code,Description,PLU_Number,SupplierStockCode,UnitsPerCase,SOH,Cases,Units,SUMOFCOST,SUMOFQTY,SUMOFSALES,SUMOFSALESEX,SUMOFTAX
7,CHOCOLATE,23984,ALLENS FANTALES 160G,23984,00695054,12,8.000,0,8,11.370,3.000,18.000,16.364,1.637
7,CHOCOLATE,351118,CAD BAR BOOST 60G,13564,351118,35,8.000,0,8,12.840,12.000,27.900,25.363,2.537
7,CHOCOLATE,387070,CAD BAR BOOST 77G,13512,387070,35,56.000,1,21,3.300,2.000,6.600,6.000,0.600
7,CHOCOLATE,23645,CAD BAR BREAKAWAY 44G,23645,581836,42,84.000,2,0,14.980,14.000,34.200,31.090,3.110
7,CHOCOLATE,414966,CAD BAR CARAMELLO 55G,13568,414966,42,59.000,1,16,6.420,6.000,15.300,13.909,1.391
7,CHOCOLATE,386993,CAD BAR CHERRY RIPE 52G,13569,386993,48,19.000,0,19,10.700,10.000,24.750,22.500,2.250
7,CHOCOLATE,387305,CAD BAR CHERRY RIPE 80G,13515,387305,36,32.000,0,32,8.250,5.000,16.500,15.000,1.500
7,CHOCOLATE,431170,CAD BAR CHOMP 30G,13613,00431170,63,30.000,0,30,11.040,16.000,24.000,21.818,2.182
7,CHOCOLATE,23025,CAD BAR CURLY WURLY 21.5G,23025,00230765,48,136.000,2,40,2.200,4.000,4.800,4.364,0.436
7,CHOCOLATE,071904,CAD BAR DREAM 50G,13571,00071904,42,9.000,0,9,10.700,10.000,23.400,21.272,2.128
7,CHOCOLATE,095518,CAD BAR FLAKE 30G,13586,95518,45,33.000,0,33,2.140,2.000,4.500,4.091,0.409
7,CHOCOLATE,011399,CAD BAR FRUIT NUT 50G,13572,11399,42,75.000,1,33,2.140,2.000,5.400,4.909,0.491
7,CHOCOLATE,477590,CAD BAR FRYS TURK DELT 55G,13588,477590,32,68.000,2,4,2.140,2.000,5.400,4.909,0.491
7,CHOCOLATE,386414,CAD BAR FRYS TURK DELT 76G,13520,386414,28,0.000,0,0,6.600,4.000,13.200,12.000,1.200
7,CHOCOLATE,414982,CAD BAR HAZELNUT 55G,13573,414982,42,75.000,1,33,6.420,6.000,15.300,13.909,1.391
